plant,rule,axis,factor,kp,ki,kd,survived,rise_s,settle_s,overshoot_pct,iae,u_tv
easy L/T=0.1,Some-Overshoot,tau,1.40,2.69784,14.01475,0.34622,1,0.3200,2.7800,32.212,0.53505,3.0554
easy L/T=0.1,Some-Overshoot,tau,1.70,2.69784,14.01475,0.34622,1,0.3900,3.0500,30.107,0.59391,3.3715
easy L/T=0.1,Some-Overshoot,tau,2.00,2.69784,14.01475,0.34622,1,0.4500,3.9300,28.874,0.65757,3.7039
easy L/T=0.1,Some-Overshoot,delay,0.50,2.69784,14.01475,0.34622,1,0.2400,1.8600,31.214,0.38338,2.3907
easy L/T=0.1,Some-Overshoot,delay,0.70,2.69784,14.01475,0.34622,1,0.2300,1.8500,33.228,0.41287,2.4077
easy L/T=0.1,Some-Overshoot,delay,1.00,2.69784,14.01475,0.34622,1,0.2300,2.3500,36.308,0.46052,2.6184
easy L/T=0.1,Some-Overshoot,delay,1.40,2.69784,14.01475,0.34622,1,0.2300,2.3800,39.463,0.52128,3.0021
easy L/T=0.1,Some-Overshoot,delay,1.70,2.69784,14.01475,0.34622,1,0.2300,2.3500,45.425,0.57523,3.1748
easy L/T=0.1,Some-Overshoot,delay,2.00,2.69784,14.01475,0.34622,1,0.2300,2.8300,52.192,0.65324,4.4512
easy L/T=0.1,No-Overshoot,gain,0.50,1.63506,8.49379,0.20983,1,0.5500,3.9700,23.157,0.66826,2.3735
easy L/T=0.1,No-Overshoot,gain,0.70,1.63506,8.49379,0.20983,1,0.3600,3.3900,35.142,0.64325,2.9257
easy L/T=0.1,No-Overshoot,gain,1.00,1.63506,8.49379,0.20983,1,0.2500,2.8900,42.053,0.58129,3.1439
easy L/T=0.1,No-Overshoot,gain,1.40,1.63506,8.49379,0.20983,1,0.1900,2.5000,39.690,0.47695,3.3483
easy L/T=0.1,No-Overshoot,gain,1.70,1.63506,8.49379,0.20983,1,0.1500,2.2800,40.864,0.42048,4.9451
easy L/T=0.1,No-Overshoot,gain,2.00,1.63506,8.49379,0.20983,1,0.1100,2.1800,46.776,0.38411,12.4896
easy L/T=0.1,No-Overshoot,tau,0.50,1.63506,8.49379,0.20983,1,0.1300,2.1200,36.689,0.35074,11.9769
easy L/T=0.1,No-Overshoot,tau,0.70,1.63506,8.49379,0.20983,1,0.2100,2.3300,34.655,0.43501,3.1409
easy L/T=0.1,No-Overshoot,tau,1.00,1.63506,8.49379,0.20983,1,0.2500,2.8900,42.053,0.58129,3.1439
easy L/T=0.1,No-Overshoot,tau,1.40,1.63506,8.49379,0.20983,1,0.3200,4.1600,43.339,0.73551,3.7624
easy L/T=0.1,No-Overshoot,tau,1.70,1.63506,8.49379,0.20983,1,0.3900,4.6300,40.346,0.81368,4.1232
easy L/T=0.1,No-Overshoot,tau,2.00,1.63506,8.49379,0.20983,1,0.4600,5.0500,37.951,0.89003,4.4548
easy L/T=0.1,No-Overshoot,delay,0.50,1.63506,8.49379,0.20983,1,0.2900,2.8100,34.148,0.47505,3.1795
easy L/T=0.1,No-Overshoot,delay,0.70,1.63506,8.49379,0.20983,1,0.2700,2.8700,37.138,0.51272,3.1610
easy L/T=0.1,No-Overshoot,delay,1.00,1.63506,8.49379,0.20983,1,0.2500,2.8900,42.053,0.58129,3.1439
easy L/T=0.1,No-Overshoot,delay,1.40,1.63506,8.49379,0.20983,1,0.2400,3.5600,49.534,0.70042,3.6105
easy L/T=0.1,No-Overshoot,delay,1.70,1.63506,8.49379,0.20983,1,0.2300,4.2100,56.284,0.82584,4.3484
easy L/T=0.1,No-Overshoot,delay,2.00,1.63506,8.49379,0.20983,0,0.2300,5.0100,63.509,1.00840,5.6105
easy L/T=0.1,AMIGO-freq,gain,0.50,1.30804,7.38590,0.05036,1,0.5500,4.0200,24.082,0.69923,2.8619
easy L/T=0.1,AMIGO-freq,gain,0.70,1.30804,7.38590,0.05036,1,0.3600,3.9900,36.305,0.67517,3.5764
easy L/T=0.1,AMIGO-freq,gain,1.00,1.30804,7.38590,0.05036,1,0.2300,3.3400,48.010,0.63537,4.0071
easy L/T=0.1,AMIGO-freq,gain,1.40,1.30804,7.38590,0.05036,1,0.1700,2.7300,53.472,0.55136,4.0153
easy L/T=0.1,AMIGO-freq,gain,1.70,1.30804,7.38590,0.05036,1,0.1400,2.3900,55.614,0.49823,3.9442
easy L/T=0.1,AMIGO-freq,gain,2.00,1.30804,7.38590,0.05036,1,0.1200,1.7800,57.714,0.45698,3.8792
easy L/T=0.1,AMIGO-freq,tau,0.50,1.30804,7.38590,0.05036,1,0.1300,1.3200,40.957,0.35431,2.8158
easy L/T=0.1,AMIGO-freq,tau,0.70,1.30804,7.38590,0.05036,1,0.1700,2.1700,45.369,0.47199,3.2995
easy L/T=0.1,AMIGO-freq,tau,1.00,1.30804,7.38590,0.05036,1,0.2300,3.3400,48.010,0.63537,4.0071
easy L/T=0.1,AMIGO-freq,tau,1.40,1.30804,7.38590,0.05036,1,0.3300,4.1500,45.115,0.79686,4.6895
easy L/T=0.1,AMIGO-freq,tau,1.70,1.30804,7.38590,0.05036,1,0.3900,5.5100,42.673,0.90126,5.1143
easy L/T=0.1,AMIGO-freq,tau,2.00,1.30804,7.38590,0.05036,1,0.4600,6.1100,40.504,0.99822,5.4969
easy L/T=0.1,AMIGO-freq,delay,0.50,1.30804,7.38590,0.05036,1,0.2600,2.6700,35.960,0.47257,2.8701
easy L/T=0.1,AMIGO-freq,delay,0.70,1.30804,7.38590,0.05036,1,0.2500,2.7100,41.015,0.52983,3.3788
easy L/T=0.1,AMIGO-freq,delay,1.00,1.30804,7.38590,0.05036,1,0.2300,3.3400,48.010,0.63537,4.0071
easy L/T=0.1,AMIGO-freq,delay,1.40,1.30804,7.38590,0.05036,1,0.2300,4.7000,55.522,0.84589,5.4735
easy L/T=0.1,AMIGO-freq,delay,1.70,1.30804,7.38590,0.05036,0,0.2300,6.9900,61.603,1.18477,8.1353
easy L/T=0.1,AMIGO-freq,delay,2.00,1.30804,7.38590,0.05036,0,0.2300,15.3500,67.820,2.27385,17.2292
