scenario,k,cmd,rc,output,setpoint,error,p,i,d,ff,unsat,flags,last_error
pid_filtered,3,u,0,6.3913469387755084,5,3.8999999999999999,11.699999999999999,0.32400000000000001,-5.6326530612244907,0,6.3913469387755084,4,0
pid_filtered,4,u,0,-1.517837900874639,5,2.7999999999999998,8.3999999999999986,0.39119999999999999,-10.309037900874637,0,-1.517837900874639,4,0
pid_filtered,5,u,0,-8.9911413577675958,5,1.6000000000000001,4.8000000000000007,0.42959999999999998,-14.220741357767597,0,-8.9911413577675958,4,0
pid_filtered,6,u,0,-12.75412954126257,5,0.70000000000000018,2.1000000000000005,0.44639999999999996,-15.30052954126257,0,-12.75412954126257,4,0
pid_filtered,7,u,0,-13.608721100901839,5,0.099999999999999645,0.29999999999999893,0.44879999999999998,-14.357521100901838,0,-13.608721100901839,4,0
pid_filtered,8,u,0,-12.125657929215599,5,-0.20000000000000018,-0.60000000000000053,0.44399999999999995,-11.969657929215598,0,-12.125657929215599,4,0
pid_filtered,9,u,0,-7.8367270922968517,5,-0.099999999999999645,-0.29999999999999893,0.44159999999999994,-7.978327092296853,0,-7.8367270922968517,4,0
pid_filtered,10,u,0,-4.6857764944977545,5,0,0,0.44159999999999994,-5.1273764944977547,0,-4.6857764944977545,4,0
pid_nfilter,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
pid_nfilter,1,u,0,15.119999999999999,5,5,15,0.12,0,0,15.119999999999999,4,0
pid_nfilter,2,u,0,9.2303999999999977,5,4.5999999999999996,13.799999999999999,0.23039999999999999,-4.8000000000000007,0,9.2303999999999977,4,0
pid_nfilter,3,u,0,1.7039999999999988,5,3.8999999999999999,11.699999999999999,0.32400000000000001,-10.32,0,1.7039999999999988,4,0
pid_nfilter,4,u,0,-8.5368000000000048,5,2.7999999999999998,8.3999999999999986,0.39119999999999999,-17.328000000000003,0,-8.5368000000000048,4,0
pid_nfilter,5,u,0,-16.101599999999998,5,1.6000000000000001,4.8000000000000007,0.42959999999999998,-21.331199999999999,0,-16.101599999999998,4,0
pid_nfilter,6,u,0,-16.786079999999995,5,0.70000000000000018,2.1000000000000005,0.44639999999999996,-19.332479999999997,0,-16.786079999999995,4,0
id_only_no_tf,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
id_only_no_tf,1,u,0,0.02,1,1,0,0.02,0,0,0.02,4,0
id_only_no_tf,2,u,0,-2.4620000000000002,1,0.90000000000000002,0,0.038000000000000006,-2.5,0,-2.4620000000000002,4,0
id_only_no_tf,3,u,0,-4.9480000000000004,1,0.69999999999999996,0,0.052000000000000005,-5,0,-4.9480000000000004,4,0
id_only_no_tf,4,u,0,-7.4400000000000004,1,0.40000000000000002,0,0.060000000000000005,-7.5,0,-7.4400000000000004,4,0
deriv_on_error,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
deriv_on_error,1,u,0,0,0,0,0,0,0,0,0,4,0
deriv_on_error,2,u,0,15.999999999999998,4,4,8,0,7.9999999999999982,0,15.999999999999998,4,0
deriv_on_error,3,u,0,9.3333333333333321,4,3,6,0,3.3333333333333326,0,9.3333333333333321,4,0
deriv_on_error,4,u,0,2.2222222222222223,4,1.5,3,0,-0.77777777777777768,0,2.2222222222222223,4,0
deriv_on_error,5,u,0,-2.7185185185185174,4,0.20000000000000018,0.40000000000000036,0,-3.1185185185185178,0,-2.7185185185185174,4,0
deriv_weighted,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
deriv_weighted,1,u,0,0,0,0,0,0,0,0,0,4,0
deriv_weighted,2,u,0,12,4,4,8,0,3.9999999999999991,0,12,4,0
